"REF_DATE","GEO","DGUID","Demographic characteristics","Sex","Income concept","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2021A000011124","First Nations","Females","Market income","Average income","2023 constant dollars","449","units","0","v1529661080","1.13.3.1.3","18400","D","","","0"
"2012","Canada","2021A000011124","First Nations","Females","Market income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661081","1.13.3.1.4","27900","C","","","0"
"2012","Canada","2021A000011124","First Nations","Females","Market income","Median income","2023 constant dollars","449","units","0","v1529661082","1.13.3.1.5","","F","","","0"
"2012","Canada","2021A000011124","First Nations","Females","Market income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661083","1.13.3.1.6","19300","D","","","0"
"2012","Canada","2021A000011124","First Nations","Females","Total income","Number of persons","Number","223","thousands","3","v1529661084","1.13.3.2.1","188","D","","","0"
"2012","Canada","2021A000011124","First Nations","Females","Total income","Percentage with income","Percent","239","units","0","v1529661085","1.13.3.2.2","96.5","A","","","1"
"2012","Canada","2021A000011124","First Nations","Females","Total income","Average income","2023 constant dollars","449","units","0","v1529661086","1.13.3.2.3","26900","C","","","0"
"2012","Canada","2021A000011124","First Nations","Females","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661087","1.13.3.2.4","27800","C","","","0"
"2012","Canada","2021A000011124","First Nations","Females","Total income","Median income","2023 constant dollars","449","units","0","v1529661088","1.13.3.2.5","20400","D","","","0"
"2012","Canada","2021A000011124","First Nations","Females","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661089","1.13.3.2.6","21300","C","","","0"
"2012","Canada","2021A000011124","First Nations","Females","After-tax income","Number of persons","Number","223","thousands","3","v1529661090","1.13.3.3.1","188","D","","","0"
"2012","Canada","2021A000011124","First Nations","Females","After-tax income","Percentage with income","Percent","239","units","0","v1529661091","1.13.3.3.2","96.8","A","","","1"
"2012","Canada","2021A000011124","First Nations","Females","After-tax income","Average income","2023 constant dollars","449","units","0","v1529661092","1.13.3.3.3","24700","C","","","0"
"2012","Canada","2021A000011124","First Nations","Females","After-tax income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661093","1.13.3.3.4","25500","C","","","0"
"2012","Canada","2021A000011124","First Nations","Females","After-tax income","Median income","2023 constant dollars","449","units","0","v1529661094","1.13.3.3.5","20400","D","","","0"
"2012","Canada","2021A000011124","First Nations","Females","After-tax income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661095","1.13.3.3.6","21000","C","","","0"
"2012","Canada","2021A000011124","Métis","Both sexes","Market income","Number of persons","Number","223","thousands","3","v1529661096","1.14.1.1.1","304","C","","","0"
"2012","Canada","2021A000011124","Métis","Both sexes","Market income","Percentage with income","Percent","239","units","0","v1529661097","1.14.1.1.2","79.7","B","","","1"
"2012","Canada","2021A000011124","Métis","Both sexes","Market income","Average income","2023 constant dollars","449","units","0","v1529661098","1.14.1.1.3","38900","C","","","0"
"2012","Canada","2021A000011124","Métis","Both sexes","Market income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v1529661099","1.14.1.1.4","48800","C","","","0"
"2012","Canada","2021A000011124","Métis","Both sexes","Market income","Median income","2023 constant dollars","449","units","0","v1529661100","1.14.1.1.5","22900","D","","","0"
"2012","Canada","2021A000011124","Métis","Both sexes","Market income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v1529661101","1.14.1.1.6","35800","C","","","0"
"2012","Canada","2021A000011124","Métis","Both sexes","Total income","Number of persons","Number","223","thousands","3","v1529661102","1.14.1.2.1","304","C","","","0"
"2012","Canada","2021A000011124","Métis","Both sexes","Total income","Percentage with income","Percent","239","units","0","v1529661103","1.14.1.2.2","97.2","A","","","1"
